PERMIT NUMBER,OWNER NAME,OPERATING NAME,BUSINESS NAME,STREET,CITY,STATE,ZIP,COUNTY,Latitude,Longitude,Accuracy Score,Accuracy Type
CA-W-22277,"CPB HOLDINGS, LLC",,CPB HOLDINGS,1269 -1277 WEST LAUREL AVE UNIT 22-26,LOMPOC,CA,93436,LOMPOC,34.629464,-120.336594,0.33,place
CA-W-17590,CONTINENTAL VENTURES GROUP TRUST,REYES WINERY,REYES WINERY,10262 SIERRA HWY,AGUA DULCE,CA,91390,LOS ANGELES,34.518721,-118.314019,1,rooftop
CA-W-17414,"AGUA DULCE WINERY, LLC",,AGUA DULCE WINERY,9640 SIERRA HWY,AGUA DULCE,CA,91390,LOS ANGELES,34.519646,-118.302456,1,rooftop
CA-W-22474,"IRONBARK CIDERWORKS, INC.",,IRONBARK CIDERWORKS,1420 N CLAREMONT BLVD STE 107B,CLAREMONT,CA,91711,LOS ANGELES,34.108968,-117.701847,1,rooftop
CA-W-21085,EDWARD A. ROMERO,ROMERO ESTATE VINEYARD,ROMERO ESTATE VINEYARD,1580 W SAN BERNARDINO RD STE H & I,COVINA,CA,91722,LOS ANGELES,34.089381,-117.925326,1,range_interpolation
CA-W-23050,RUSSELL LEWIS BRILEY,NUGGUCCIET CELLARS,NUGGUCCIET CELLARS,42257 W 6TH ST STE 302,LANCASTER,CA,93534,LOS ANGELES,34.650039,-118.141378,1,range_interpolation
CA-W-22948,CLAY SCOTT PORLIER,PORLIER WINES,PORLIER WINES,42257 6TH ST W STE 302,LANCASTER,CA,93534,LOS ANGELES,34.650039,-118.141378,1,range_interpolation
CA-W-23238,"MIDCITY INVESTMENTS, LLC",PARVANEH VINEYARDS,PARVANEH VINEYARDS,42257 W 6TH STREET ST UNIT 302,LANCASTER,CA,93534,LOS ANGELES,34.650039,-118.141378,1,range_interpolation
CA-W-23053,SAMANO CELLARS INC.,SAMANO FAMILY CELLARS,SAMANO FAMILY CELLARS,42257 W 6TH ST STE 302,LANCASTER,CA,93534,LOS ANGELES,34.650039,-118.141378,1,range_interpolation
CA-W-22970,JAMIELLY PATACSIL KREGER,DOMANE KREGER VINEYARDS,DOMANE KREGER VINEYARDS,42257 6TH ST W STE 302,LANCASTER,CA,93534,LOS ANGELES,34.650039,-118.141378,1,range_interpolation
CA-W-23283,AHART CELLARS,AHART CELLARS,AHART CELLARS,42257 6TH STREET W STE 302,LANCASTER,CA,93534,LOS ANGELES,34.650039,-118.141378,1,range_interpolation
CA-W-966,FRANK S. & CYNDEE JO DONATO,ANTELOPE VALLEY WINERY,ANTELOPE VALLEY WINERY,42041 20TH ST,LANCASTER,CA,93534,LOS ANGELES,34.647094,-118.166202,0.9,rooftop
CA-W-1726,STEVEN F. GODDE,CAMEO RANCH AND WINERY,CAMEO RANCH AND WINERY,8539 W AVENUE H,LANCASTER,CA,93536,LOS ANGELES,34.72211,-118.280917,1,rooftop
CA-W-22409,JOHN FRANCIS BARRETT,BARRETT CELLARS,BARRETT CELLARS,114 W NEWGROVE ST,LANCASTER,CA,93534,LOS ANGELES,34.694766,-118.130894,0.8,rooftop
CA-W-21128,"GOLDEN STAR VINEYARDS, LLC",,GOLDEN STAR VINEYARDS,36043 106TH ST E,LITTLEROCK,CA,93543,LOS ANGELES,34.537128,-117.943208,1,rooftop
CA-W-23279,CIDERLAB LLC,FICKLEWOOD CIDERWORKS,FICKLEWOOD CIDERWORKS,720 E BROADWAY,LONG BEACH,CA,90802,LOS ANGELES,33.769142,-118.183016,1,range_interpolation
CA-W-23290,SHORELINE CELLARS INC.,WATERS EDGE WINERY LONG BEACH,WATERS EDGE WINERY LONG BEACH,217 PINE AVE,LONG BEACH,CA,90802,LOS ANGELES,33.769708,-118.192682,1,rooftop
CA-W-22982,"ANGELENO WINE CO, LLC",,ANGELENO WINE CO,1646 N SPRING ST UNIT C,LOS ANGELES,CA,90012,LOS ANGELES,34.06924,-118.22761,1,rooftop
CA-W-22964,MCTAVISH BRANDS LLC,,MCTAVISH BRANDS,1700 NAUD ST UNIT A,LOS ANGELES,CA,90012,LOS ANGELES,34.068648,-118.226376,1,rooftop
CA-W-163,"SAN ANTONIO WINERY, INC.",RIBOLI FAMILY WINES,RIBOLI FAMILY WINES,737 LAMAR ST,LOS ANGELES,CA,90031,LOS ANGELES,34.06375,-118.223826,1,rooftop
CA-W-21373,MORAGA CANYON VINEYARDS LLC,MORAGA VINEYARDS,MORAGA VINEYARDS,1070 MORAGA DR,LOS ANGELES,CA,90049,LOS ANGELES,34.084521,-118.469376,1,rooftop
CA-W-3366,"FLEISCHMANN'S VINEGAR COMPANY, INC.",,FLEISCHMANN'S VINEGAR COMPANY,444 ROOSEVELT AVE,MONTEBELLO,CA,90640,LOS ANGELES,34.004971,-118.107461,0.9,rooftop
CA-W-15944,"EMMSTEL SACRED VINEYARD, INC.",EMMSTEL SACRED VINEYARD WINERY,EMMSTEL SACRED VINEYARD WINERY,37437 TYE PL,PALMDALE,CA,93551,LOS ANGELES,34.562723,-118.145161,1,rooftop
CA-W-17797,"WINE EXPEDITE, LLC",,WINE EXPEDITE,2930 E MARIA ST,RANCHO DOMIGUEZ,CA,90221,LOS ANGELES,33.857734,-118.209873,1,rooftop
CA-W-23352,"OGOPOGO BREWING, LLC",OGOPOGO BREWING,OGOPOGO BREWING,864 COMMERCIAL AVE,SAN GABRIEL,CA,91776,LOS ANGELES,34.095948,-118.088729,1,rooftop
CA-W-23540,"AJA VINEYARDS, LLC",AJA CELLARS,AJA CELLARS,25327 AVENUE STANFORD UNIT 105,SANTA CLARITA,CA,91355,LOS ANGELES,34.439741,-118.634816,0.22,place
CA-W-23300,SABELLI-FRISCH WINES,SABELLI-FRISCH WINES,SABELLI-FRISCH WINES,25327 AVENUE STANFORD STE 105,SANTA CLARITA,CA,91355,LOS ANGELES,34.439741,-118.634816,0.22,place
CA-W-22151,STRAY LEAVES VINEYARD LLC,,STRAY LEAVES VINEYARD,25327 AVENUE STANFORD STE 105,SANTA CLARITA,CA,91355,LOS ANGELES,34.439741,-118.634816,0.22,place
CA-W-21798,"PAGTER BROTHERS, LLC",,PAGTER BROTHERS,25327 AVENUE STANFORD STE 105,SANTA CLARITA,CA,91355,LOS ANGELES,34.439741,-118.634816,0.22,place
CA-W-16821,STEVE LEMLEY AND NATE HASPER (GENERAL PARTNERSHIP),PULCHELLA WINERY,PULCHELLA WINERY,25327 AVENUE STANFORD STE 105,SANTA CLARITA,CA,91355,LOS ANGELES,34.439741,-118.634816,0.22,place
CA-W-22175,HOI POLLOI LLC,,HOI POLLOI,25327 AVENUE STANFORD STE 105,SANTA CLARITA,CA,91355,LOS ANGELES,34.439741,-118.634816,0.22,place
CA-W-21943,IN VINO MUSICAS LLC,,IN VINO MUSICAS,25327 AVENUE STANFORD STE 105,SANTA CLARITA,CA,91355,LOS ANGELES,34.439741,-118.634816,0.22,place
CA-W-21855,DAVID ARMAND FINLEY,FINLEY FAMILY WINES,FINLEY FAMILY WINES,25327 AVENUE STANFORD STE 105,SANTA CLARITA,CA,91355,LOS ANGELES,34.439741,-118.634816,0.22,place
CA-W-22261,BYRON BLATTY WINES,,BYRON BLATTY WINES,25327 AVENUE STANFORD STE 105,SANTA CLARITA,CA,91355,LOS ANGELES,34.439741,-118.634816,0.22,place
CA-W-21697,ARGONZA ESTATE,ARGONZA CELLARS,ARGONZA CELLARS,25327 AVENUE STANFORD STE 105,SANTA CLARITA,CA,91355,LOS ANGELES,34.439741,-118.634816,0.22,place
CA-W-21562,JS ARNOLD LEGACY LLC,TRIASSIC LEGACY VINEYARD,TRIASSIC LEGACY VINEYARD,25327 AVENUE STANFORD STE 105,SANTA CLARITA,CA,91355,LOS ANGELES,34.439741,-118.634816,0.22,place
CA-W-22575,DANNY A. MASCARI,MASCARI ENTERPRISES,MASCARI ENTERPRISES,28964 BOUQUET CANYON RD,SAUGUS,CA,91390,LOS ANGELES,34.46344,-118.481647,1,rooftop
CA-W-23492,SAN GABRIEL BREWING LLC,PROGRESS WINE,PROGRESS WINE,9617 ALPACA ST,SOUTH EL MONTE,CA,91733,LOS ANGELES,34.049368,-118.059314,1,rooftop
CA-W-16956,LIJEPA PLAVKA LLC,,LIJEPA PLAVKA,11155 RUSH ST,SOUTH EL MONTE,CA,91733,LOS ANGELES,34.049065,-118.032191,1,rooftop
CA-W-23269,"COSMIC BREWERY, LLC",COSMIC BREWERY,COSMIC BREWERY,20316 GRAMERCY PL,TORRANCE,CA,90501,LOS ANGELES,33.846307,-118.311548,1,rooftop
CA-W-21958,NABU WINES LLC,,NABU WINES,2649 TOWNSGATE RD UNIT 200,WESTLAKE VILLAGE,CA,91361,LOS ANGELES,34.157464,-118.827859,1,rooftop
CA-W-21865,ARCHIUM CELLARS LLC,ARCHIUM CELLARS,ARCHIUM CELLARS,31111 VIA COLINAS,WESTLAKE VILLAGE,CA,91362,LOS ANGELES,34.15412,-118.802374,1,rooftop
CA-W-21989,"WORLD WINE SOURCE & EDUCATION, LLC",RANCHO SANTIAGO VINEYARD,RANCHO SANTIAGO VINEYARD,31111 VIA COLINAS,WESTLAKE VILLAGE,CA,91362,LOS ANGELES,34.15412,-118.802374,1,rooftop
CA-W-21966,"TRIUNFO CREEK, LLC",TRIUNFO CREEK VINEYARDS,TRIUNFO CREEK VINEYARDS,31111 VIA COLINAS,WESTLAKE VILLAGE,CA,91362,LOS ANGELES,34.15412,-118.802374,1,rooftop
CA-W-21110,"ALDABELLA CUSTOM CRUSH WINERY & STORAGE, LLC",,ALDABELLA CUSTOM CRUSH WINERY & STORAGE,31111 VIA COLINAS,WESTLAKE VILLAGE,CA,91361,LOS ANGELES,34.15412,-118.802374,0.9,rooftop
CA-W-22614,URBAN PRESS SPIRITS LLC,,URBAN PRESS SPIRITS,5220 4TH ST STE 16 & 17,IRWINDALE,CA,91706,LOS ANGELES COUNTY,34.107343,-117.938425,1,range_interpolation
CA-W-23441,ACRI WINE COMPANY LLC,ACRI WINE COMPANY LLC,ACRI WINE COMPANY,25327 AVENUE STANFORD STE 105,SANTA CLARITA,CA,91355,LOS ANGELES COUNTY,34.439741,-118.634816,0.22,place
CA-W-23132,"SANTA PAULA CELLARS, LLC",SANTA PAULA CELLARS,SANTA PAULA CELLARS,25327 AVENUE STANFORD STE 105,SANTA CLARITA,CA,91355,LOS ANGELES COUNTY,34.439741,-118.634816,0.22,place
CA-W-22711,ADAM HASPER,3H WINERY,3H WINERY,25327 AVENUE STANFORD STE 105,SANTA CLARITA,CA,91355,LOS ANGELES COUNTY,34.439741,-118.634816,0.22,place
CA-W-22084,RANCHO DE LOS VIAJEROS VINEYARD LLC,,RANCHO DE LOS VIAJEROS VINEYARD,25327 AVENUE STANFORD STE 105,SANTA CLARITA,CA,91355,LOS ANGELES COUNTY,34.439741,-118.634816,0.22,place
CA-W-22158,"THE BLENDING LAB, INC.",,THE BLENDING LAB,25327 AVENUE STANFORD STE 105,SANTA CLARITA,CA,91355,LOS ANGELES COUNTY,34.439741,-118.634816,0.22,place
CA-W-21420,"GIVENS AND HALPERN, INC.",REGALO VALLEY RANCH,REGALO VALLEY RANCH,21801 AVENUE 16,MADERA,CA,93637,MADERA,36.983811,-120.149666,1,rooftop
CA-W-15996,"D.P. ENTERPRISES, LP, D. PAPAGNI INVESTMENTS, INC., GP",,"D.P. ENTERPRISES, LP, D. PAPAGNI INVESTMENTS, INC., GP",9505 ROAD 30 1/2,MADERA,CA,93636,MADERA,36.889155,-119.979227,1,rooftop
CA-W-16652,THE WINE GROUP LLC,ALMADEN-MADERA,ALMADEN-MADERA,22004 ROAD 24,MADERA,CA,93638,MADERA,37.077962,-120.121149,1,rooftop
CA-W-17182,"RBC GROUP, INC.",BALBAS-AMERICAN WINERY,BALBAS-AMERICAN WINERY,19500 ROAD 28 1/2,MADERA,CA,93638,MADERA,37.03433,-120.032559,1,rooftop
CA-W-20074,"VISTA CELLARS, LLC",VISTA CELLARS,VISTA CELLARS,21801 AVENUE 16,MADERA,CA,93637,MADERA,36.983811,-120.149666,1,rooftop
CA-W-23333,"HICKORY FARMS, LLC",,HICKORY FARMS,21801 AVENUE 16,MADERA,CA,93637,MADERA,36.983811,-120.149666,1,rooftop
CA-W-2431,"GOLDEN VALLEY GRAPE JUICE AND WINE, LLC",,GOLDEN VALLEY GRAPE JUICE AND WINE,11770 ROAD 27 1/2,MADERA,CA,93637,MADERA,36.921019,-120.049107,1,rooftop
CA-W-174,"CONSTELLATION BRANDS U.S. OPERATIONS, INC.",MISSION BELL WINERY,MISSION BELL WINERY,12667 ROAD 24,MADERA,CA,93637,MADERA,36.9347,-120.106675,1,rooftop
CA-W-15033,E. & J. GALLO WINERY,,E. & J. GALLO WINERY,31754 AVENUE 9,MADERA,CA,93638,MADERA,36.877555,-119.969843,0.9,rooftop
CA-W-15271,ANTHONY RICHARD KIRK,BIRDSTONE WINERY,BIRDSTONE WINERY,9400 ROAD 36,MADERA,CA,93638,MADERA,36.885864,-119.895697,0.9,rooftop
CA-W-2636,"PACIFIC CREST VINEYARD & WINE CO., INC.",,PACIFIC CREST VINEYARD & WINE CO.,33137 AVENUE 9,MADERA,CA,93638,MADERA,36.885428,-119.943169,0.9,rooftop
CA-W-15075,"MARIPOSA WINE COMPANY, LLC",MARIPOSA WINE COMPANY,MARIPOSA WINE COMPANY,20146 ROAD 21,MADERA,CA,93637,MADERA,37.041093,-120.1682,1,rooftop
CA-W-16054,SAN JOAQUIN WINE COMPANY INC.,SAN JOAQUIN WINE CO.,SAN JOAQUIN WINE CO.,21801 16 AVE,MADERA,CA,93637,MADERA,36.928286,-120.182423,0.33,place
CA-W-15451,WEST COAST ACQUISITION COMPANY,SIMPSON MEADOW WINERY,SIMPSON MEADOW WINERY,8492 ROAD 20,MADERA,CA,93637,MADERA,36.870984,-120.192041,1,rooftop
CA-W-21372,OAKLAND BEVERAGE GROUP,,OAKLAND BEVERAGE GROUP,9505 ROAD 30-1/2,MADERA,CA,93638,MADERA,36.889155,-119.979227,0.9,rooftop
CA-W-844,FICKLIN VINEYARDS,,FICKLIN VINEYARDS,30246 AVENUE 7 1/2,MADERA,CA,93637,MADERA,36.857819,-119.997152,1,rooftop
CA-W-2758,"JEDL ENTERPRISES, INC.",CHATEAU LASGOITY,CHATEAU LASGOITY,11207 ROAD 26,MADERA,CA,93637,MADERA,36.911118,-120.071808,1,rooftop
CA-W-17676,"QUADY SOUTH WINERY, LLC",QUADY WINERY,QUADY WINERY,13181 ROAD 24,MADERA,CA,93637,MADERA,36.939812,-120.106949,1,rooftop
CA-W-21606,"TOCA MADERA WINERY, INC.",,TOCA MADERA WINERY,36146 AVE 9,MADERA,CA,93636,MADERA,36.857756,-119.852537,0.9,place
CA-W-2867,"RAYMOND A. KRAUSE, JR.",WESTBROOK WINE FARM,WESTBROOK WINE FARM,49610 HOUSE RANCH RD,O NEALS,CA,93645,MADERA,37.164667,-119.648193,1,rooftop
CA-W-21032,"AGROVICE, INC.",FASI ESTATE WINERY,FASI ESTATE WINERY,42415 ROAD 208,O'NEALS,CA,93645,MADERA,37.163948,-119.665194,0.33,place
CA-W-15764,"C & R STRATEGY, INC.",IDLE HOUR WINERY,IDLE HOUR WINERY,41139 HIGHWAY 41,OAKHURST,CA,93644,MADERA,37.346361,-119.640645,1,rooftop
CA-W-1110,SEAN HALEY THACKREY,THACKREY & CO.,THACKREY & CO.,240 OVERLOOK DR,BOLINAS,CA,94924,MARIN,37.904776,-122.695796,1,rooftop
CA-W-847,"F. ROWLAND, HM ROWLAND JR, D. ROWLAND, T. MEVES, ET AL",PACHECO RANCH WINERY,PACHECO RANCH WINERY,5495 REDWOOD HWY,IGNACIO,CA,94947,MARIN,38.187839,-122.600406,0.8,rooftop
CA-W-21517,SKYWALKER VINEYARDS LLC,SKYWALKER VINEYARDS,SKYWALKER VINEYARDS,3838 LUCAS VALLEY RD,NICASIO,CA,94946,MARIN,38.052375,-122.627213,1,rooftop
CA-W-16626,DAVID H. MEASE,MOON HILL VINEYARD,MOON HILL VINEYARD,275 NICASIO VALLEY RD,NICASIO,CA,94946,MARIN,38.026819,-122.670085,1,rooftop
CA-W-2492,D. BRIAN HESLIP,HESLIP FAMILY WINERY,HESLIP FAMILY WINERY,2075 CENTER RD,NOVATO,CA,94947,MARIN,38.108962,-122.598253,1,rooftop
CA-W-15129,"TERREMOTO CELLARS, LLC",TERREMOTO CELLARS,TERREMOTO CELLARS,102 HAMILTON DR STE A,NOVATO,CA,94949,MARIN,38.073303,-122.538606,1,rooftop
CA-W-15532,"SARAFORNIA CELLARS, LLC",SAVAGE ESTATE,SAVAGE ESTATE,55 FROSTY LN,NOVATO,CA,94949,MARIN,38.074923,-122.540297,1,range_interpolation
CA-W-20161,TREK WINERY LLC,SAVAGE ESTATE,SAVAGE ESTATE,1026 MACHIN AVE,NOVATO,CA,94947,MARIN,38.108691,-122.568819,0.9,rooftop
CA-W-1106,"KALIN CELLARS, INC.",,KALIN CELLARS,61 GALLI DR,NOVATO,CA,94949,MARIN,38.073271,-122.535689,1,rooftop
CA-W-21089,"BROOKS NOTE ENTERPRISES, LLC",BROOKS-NOTE WINERY,BROOKS-NOTE WINERY,1026 MACHIN AVE,NOVATO,CA,94947,MARIN,38.108691,-122.568819,0.9,rooftop
CA-W-2419,HEIDRUN MEADERY,,HEIDRUN MEADERY,11925 STATE ROUTE 1,POINT REYES STATION,CA,94956,MARIN,38.078291,-122.805077,1,range_interpolation
CA-W-2269,STEPHEN D. DOUGHTY & SHARON M. DOUGHTY,POINT REYES VINEYARDS,POINT REYES VINEYARDS,12800 HIGHWAY 1,POINT REYES STATION,CA,94956,MARIN,38.101073,-122.821585,1,rooftop
CA-W-22421,ABSENTEE WINERY LLC,ABSENTEE WINERY,ABSENTEE WINERY,14500 POINT REYES PETALUMA RD MILKING BARN,POINT REYES STATION,CA,94956,MARIN,38.081036,-122.781828,0.9,rooftop
CA-W-2982,"ROSS VALLEY WINERY, INC.",ROSS VALLEY WINERY,ROSS VALLEY WINERY,343 SAN ANSELMO AVE,SAN ANSELMO,CA,94960,MARIN,37.973425,-122.562472,1,rooftop
CA-W-16035,BOB GLASS,BOB GLASS WINES,BOB GLASS WINES,63 OAK KNOLL DR,SAN ANSELMO,CA,94960,MARIN,38.00224,-122.577562,1,rooftop
CA-W-20329,JAN LEE,APPLEGARDEN,APPLEGARDEN,3875 TOMALES - PETALUMA RD,TOMALES,CA,94971,MARIN,38.242031,-122.90032,1,rooftop
CA-W-2553,SILVER FAMILY VINEYARDS LLC,SILVER FOX VINEYARDS,SILVER FOX VINEYARDS,4683 MORNING STAR LN,MARIPOSA,CA,95338,MARIPOSA,37.496476,-119.91459,1,rooftop
CA-W-17777,MOUNT BULLION VINEYARD LLC,CASTO OAKS,CASTO OAKS,6947 HIGHWAY 49 NORTH,MARIPOSA,CA,95338,MARIPOSA,37.549905,-120.099951,1,range_interpolation
CA-W-1511,JOHN P. GERKEN & COLLEEN K. GERKEN,BUTTERFLY CREEK WINERY,BUTTERFLY CREEK WINERY,5647 DARRAH RD,MARIPOSA,CA,95338,MARIPOSA,37.497475,-119.853883,1,range_interpolation
CA-W-21654,RAUCH RANCH VINEYARDS AND WINERY,,RAUCH RANCH VINEYARDS AND WINERY,3398 BEN HUR RD,MARIPOSA,CA,95338,MARIPOSA,37.39087,-119.969558,1,range_interpolation
CA-W-21349,SIERRA CIDER LLC,SIERRA CIDER,SIERRA CIDER,5569 MEADOW LN,MARIPOSA,CA,95338,MARIPOSA,37.496128,-119.819929,1,rooftop
CA-W-3513,ELKE VINEYARDS LLC,ELKE VINEYARDS,ELKE VINEYARDS,12351 HIGHWAY 128,BOONVILLE,CA,95415,MENDOCINO,39.030517,-123.386144,0.9,range_interpolation
CA-W-17411,A. DEAN CARRELL & SUZANNE ARAGO CARRELL,ROMA'S VINEYARD,ROMA'S VINEYARD,100001 LONE TREE RIDGE RD,BOONVILLE,CA,95415,MENDOCINO,39.046943,-123.418728,0.33,place
CA-W-23185,"LICHEN ESTATE, LLC",,LICHEN ESTATE,11001 G COUNTY 151 RD,BOONVILLE,CA,95415,MENDOCINO,39.046943,-123.418728,0.33,place
CA-W-16243,"FOURSIGHT WINES, INC.",,FOURSIGHT WINES,14475 HIGHWAY 128,BOONVILLE,CA,95415,MENDOCINO,39.004972,-123.363227,1,range_interpolation
CA-W-22649,MARYETTA WINES,,MARYETTA WINES,11001 G COUNTY ROAD 151,BOONVILLE,CA,95415,MENDOCINO,39.046943,-123.418728,0.33,place
CA-W-23186,"VINO PHILO, LLC",,VINO PHILO,11001 G COUNTY ROAD 151,BOONVILLE,CA,95415,MENDOCINO,39.046943,-123.418728,0.33,place
CA-W-3235,JASON J. AND MOLLY N. DREW,DREW FAMILY CELLARS,DREW FAMILY CELLARS,31351 PHILO-GREENWOOD RD,ELK,CA,95432,MENDOCINO,39.133238,-123.648406,1,rooftop
CA-W-23173,"WENTWORTH VINEYARD AND RANCH, LLC",WENTWORTH VINEYARDS,WENTWORTH VINEYARDS,31351 PHILO GREENWOOD RD,ELK,CA,95432,MENDOCINO,39.133238,-123.648406,1,rooftop
CA-W-22668,P BAXTER WINE SERVICES LLC,,P BAXTER WINE SERVICES,28000 GREENWOOD RD,ELK,CA,95432,MENDOCINO,39.121056,-123.5967,1,rooftop
CA-W-2272,"BAXTER WINERY, INC.",PHILIPPE LORRAINE,PHILIPPE LORRAINE,28000 GREENWOOD RD,ELK,CA,95432,MENDOCINO,39.121056,-123.5967,1,rooftop
CA-W-2529,"PACIFIC STAR, LLC",,PACIFIC STAR,33000 N HIGHWAY 1,FORT BRAGG,CA,95437,MENDOCINO,39.592096,-123.782928,1,rooftop
CA-W-16534,"DARK HORSE WINES, LLC",,DARK HORSE WINES,14100 MOUNTAIN HOUSE RD,HOPLAND,CA,95449,MENDOCINO,38.961491,-123.119442,1,rooftop
CA-W-17593,"BRUTOCAO CELLARS, BRUTOCAO FAMILY ENTERPRISES, LLC, GP, BRUTOCAO MANAGEMENT, LLC, GP",,"BRUTOCAO CELLARS, BRUTOCAO FAMILY ENTERPRISES, LLC, GP, BRUTOCAO MANAGEMENT, LLC, GP",1400 HIGHWAY 175,HOPLAND,CA,95449,MENDOCINO,38.9785,-123.089702,1,rooftop
CA-W-17059,"BERNARD LAWRENCE WINES, GENERAL PARTNERS: BERNARD A. ORSI AND LAW",ORSI PAPALE ESTATE WINES,ORSI PAPALE ESTATE WINES,NOT PROVIDED,HOPLAND,CA,95449,MENDOCINO,38.965637,-123.138986,1,place
CA-W-16755,MARIO MICHAEL ROSATI AND DANELLE STORM ROSATI,ROSATI FAMILY WINERY,ROSATI FAMILY WINERY,11684 S HIGHWAY 101,HOPLAND,CA,95449,MENDOCINO,38.9946,-123.122455,1,rooftop
CA-W-23286,W.J. DEUTSCH & SONS LTD.,,W.J. DEUTSCH & SONS,13300 BUCKMAN DR,HOPLAND,CA,95449,MENDOCINO,38.97714,-123.047604,1,rooftop
CA-W-15142,GOLDEN CELLARS LLC,,GOLDEN CELLARS,14251 OLD RIVER RD,HOPLAND,CA,95449,MENDOCINO,38.963805,-123.096939,1,rooftop
CA-W-23235,"HERITANCE VINTNERS, LLC",SARACINA VINEYARDS,SARACINA VINEYARDS,11684 HIGHWAY 101,HOPLAND,CA,95449,MENDOCINO,38.9946,-123.122455,1,rooftop
CA-W-1586,FETZER VINEYARDS,,FETZER VINEYARDS,12625 OLD RIVER RD,HOPLAND,CA,95449,MENDOCINO,38.965637,-123.138986,0.33,place
CA-W-3108,"STARR MILANO, INC.",MILANO WINERY,MILANO WINERY,14594 S HIGHWAY 101,HOPLAND,CA,95449,MENDOCINO,38.957744,-123.109478,1,range_interpolation
CA-W-20195,"CAMPOVIDA WINES, LLC",CAMPOVIDA,CAMPOVIDA,13601 OLD RIVER RD,HOPLAND,CA,95449,MENDOCINO,38.979007,-123.097526,0.8,nearest_rooftop_match
CA-W-22673,"VINTAGE WINE ESTATES, INC.",CAMERON HUGHES WINE,CAMERON HUGHES WINE,13300 BUCKMAN DR,HOPLAND,CA,95449,MENDOCINO,38.97714,-123.047604,1,rooftop
CA-W-3124,"SARACINA VINEYARDS, LLC",SARACINA VINEYARDS,SARACINA VINEYARDS,11684 HIGHWAY 101,HOPLAND,CA,95449,MENDOCINO,38.9946,-123.122455,1,rooftop
CA-W-23200,MLJ HOLDINGS LLC,TOPEL WINERY,TOPEL WINERY,1850 DUNCAN SPRINGS RD,HOPLAND,CA,95449,MENDOCINO,38.943047,-123.128381,1,rooftop
CA-W-16703,"STONECUSHION, INC.",JEPSON VINEYARD,JEPSON VINEYARD,10400 S HIGHWAY 101,HOPLAND,CA,95449,MENDOCINO,39.01209,-123.130227,0.8,rooftop
CA-W-2722,"MILDARA BLASS, INC.",WINDSOR VINEYARDS,WINDSOR VINEYARDS,13300 BUCKMAN DR,HOPLAND,CA,95449,MENDOCINO,38.97714,-123.047604,1,rooftop
CA-W-16362,"GROVE ACQUISITION, LLC",RAY'S STATION,RAY'S STATION,13300 BUCKMAN DR,HOPLAND,CA,95449,MENDOCINO,38.97714,-123.047604,1,rooftop
CA-W-16043,"OLIVINO, INC.",OLIVINO,OLIVINO,14200 MOUNTAIN HOUSE RD STE B,HOPLAND,CA,95449,MENDOCINO,38.959211,-123.121863,1,rooftop
CA-W-21622,DUCKHORN WINE COMPANY,WATERFOWL WINE COMPANY,WATERFOWL WINE COMPANY,14100 MOUNTAIN HOUSE RD,HOPLAND,CA,95449,MENDOCINO,38.961491,-123.119442,1,rooftop
CA-W-17072,"PELU PARTNERS, LLC",ROUTE 128 WINERY,ROUTE 128 WINERY,22130 MOUNTAIN HOUSE RD,HOPLAND,CA,95449,MENDOCINO,38.94698,-123.101141,0.6,street_center
CA-W-17557,OLD ROAD PRODUCERS LLC,BERGIN-SIPILA VINEYARDS,BERGIN-SIPILA VINEYARDS,59861 BELL SPRINGS RD,LAYTONVILLE,CA,95454,MENDOCINO,39.834362,-123.545624,1,rooftop
CA-W-16340,SIEGRUND P C YEILDING & WILLOW ATHENE LALAND-YIELDING,,SIEGRUND P C YEILDING & WILLOW ATHENE LALAND-YIELDING,67442 BELL SPRINGS RD,LAYTONVILLE,CA,95454,MENDOCINO,39.922469,-123.576212,1,rooftop
CA-W-16617,"BEWLEY-MOTLUK FAMILY LIMITED PARTNERSHIP, ROSS STUART BEWLEY, GENERAL PARTNER",BEWLEY-MOTLUK FAMILY,BEWLEY-MOTLUK FAMILY,2000 BAUER RD,LAYTONVILLE,CA,95454,MENDOCINO,39.689011,-123.516137,1,rooftop
CA-W-21645,"LULA CELLARS, LLC",LULA CELLARS,LULA CELLARS,2800 GUNTLEY RD,MENDOCINO,CA,95460,MENDOCINO,39.122799,-123.516207,0.9,rooftop
CA-W-2731,"PANTHEA, LLC.",PANTHEA WINERY & VINEYARD,PANTHEA WINERY & VINEYARD,3400 CHARDONNAY LN,PHILO,CA,95466,MENDOCINO,39.127853,-123.51812,1,rooftop
CA-W-21551,VAN WILLIAMSON,WITCHING STICK WINES,WITCHING STICK WINES,8001 NW HIGHWAY 128,PHILO,CA,95466,MENDOCINO,39.073891,-123.448017,1,rooftop
CA-W-1180,"HUSCH VINEYARDS, INC.",,HUSCH VINEYARDS,4400 HIGHWAY 128,PHILO,CA,95466,MENDOCINO,39.101417,-123.500683,1,rooftop
CA-W-23416,"SILVER OAK WINE CELLARS, LLC",SILVER OAK CELLARS,SILVER OAK CELLARS,4741 HIGHWAY 128,PHILO,CA,95466,MENDOCINO,39.112747,-123.487817,1,rooftop
